time,open,high,low,close,High,Low,Mid,Untouched High,Untouched Low,Untouched Mid
2024-06-28T10:45:00+05:30,24138.7,24151.25,24124.05,24147.8,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-28T11:15:00+05:30,24147.6,24150.5,24103.7,24140.5,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-28T11:45:00+05:30,24140.2,24144,24105.1,24110.9,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-28T12:15:00+05:30,24111.75,24115,24032.05,24046.65,Touch & Close Below,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-28T12:45:00+05:30,24046.75,24062.8,24009.15,24060.75,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-28T13:15:00+05:30,24060.95,24091.45,24044.8,24080.05,Touch & Close Below,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-28T13:45:00+05:30,24081.2,24135.45,24073.95,24117.2,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-28T14:15:00+05:30,24117.05,24132.9,24041.05,24071.2,Touch & Close Below,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-28T14:45:00+05:30,24070.35,24108.1,23988.9,23989.2,Touch & Close Below,No Touch,No Touch,No Touch,No Touch,No Touch
2024-06-28T15:15:00+05:30,23987.4,24012.95,23985.8,24009.8,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-01T09:15:00+05:30,24032.9,24081.75,23992.7,24080.3,No Touch,No Touch,Touch & Close Above,No Touch,No Touch,No Touch
2024-07-01T09:45:00+05:30,24081.95,24096.6,24054.15,24056.95,No Touch,No Touch,Touch & Close Below,Touch & Close Below,No Touch,No Touch
2024-07-01T10:15:00+05:30,24056.1,24092.7,24056.05,24083.1,No Touch,No Touch,Touch & Close Above,Touch & Close Below,No Touch,No Touch
2024-07-01T10:45:00+05:30,24081.35,24092.7,24066,24078.7,No Touch,No Touch,Touch & Close Below,Touch & Close Below,No Touch,No Touch
2024-07-01T11:15:00+05:30,24076.95,24118.8,24072,24116.25,No Touch,No Touch,Touch & Close Above,Touch & Close Above,No Touch,No Touch
2024-07-01T11:45:00+05:30,24116,24124.4,24102.05,24109.95,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-01T12:15:00+05:30,24109.8,24128,24099,24117.85,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-01T12:45:00+05:30,24117.65,24126.65,24113,24118.55,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-01T13:15:00+05:30,24119,24143.4,24108.25,24138.15,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-01T13:45:00+05:30,24137.15,24152.35,24127.2,24141.55,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-01T14:15:00+05:30,24141.05,24152.4,24120.35,24146.25,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-01T14:45:00+05:30,24147.45,24164,24124,24147.4,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-01T15:15:00+05:30,24146.85,24153.95,24120,24123.15,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-02T09:15:00+05:30,24232.6,24236.35,24091.55,24093.8,Touch & Close Below,No Touch,No Touch,Touch & Close Below,No Touch,No Touch
2024-07-02T09:45:00+05:30,24093.35,24149.1,24073.65,24130,No Touch,No Touch,Touch & Close Above,No Touch,No Touch,Touch & Close Above
2024-07-02T10:15:00+05:30,24129.65,24159.6,24121,24143.75,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-02T10:45:00+05:30,24143.45,24185.05,24135.35,24182.45,Touch & Close Above,No Touch,No Touch,Touch & Close Above,No Touch,No Touch
2024-07-02T11:15:00+05:30,24182.2,24190.25,24122.75,24130.5,Touch & Close Below,No Touch,No Touch,Touch & Close Below,No Touch,No Touch
2024-07-02T11:45:00+05:30,24131.6,24169.15,24128.65,24138,Touch & Close Below,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-02T12:15:00+05:30,24137.8,24158.6,24094.35,24109.85,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-02T12:45:00+05:30,24109.65,24115.55,24056.4,24104.45,No Touch,No Touch,Touch & Close Above,No Touch,No Touch,Touch & Close Above
2024-07-02T13:15:00+05:30,24104.25,24136.9,24092.85,24121.95,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-02T13:45:00+05:30,24122.1,24132.15,24095.25,24108.25,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-02T14:15:00+05:30,24108.2,24150.25,24108.1,24144.3,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-02T14:45:00+05:30,24143.7,24147.6,24118.15,24125.05,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-02T15:15:00+05:30,24125.1,24130.5,24110.6,24117.8,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-03T09:15:00+05:30,24292.15,24292.15,24207.1,24283.35,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-03T09:45:00+05:30,24284.2,24307.25,24264.5,24267.85,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-03T10:15:00+05:30,24268.85,24293.75,24259.6,24282.2,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-03T10:45:00+05:30,24281.75,24286.3,24261.7,24268.4,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-03T11:15:00+05:30,24268.25,24275.75,24236.25,24260.65,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-03T11:45:00+05:30,24261.1,24268.45,24246.85,24252.25,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-03T12:15:00+05:30,24252.5,24290.4,24251.35,24275.05,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-03T12:45:00+05:30,24275.45,24292.15,24265.7,24275.85,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-03T13:15:00+05:30,24276.4,24290.9,24274.1,24286.3,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-03T13:45:00+05:30,24287.3,24293.55,24255.95,24264.55,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-03T14:15:00+05:30,24265.8,24267.4,24246.5,24256.75,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-03T14:45:00+05:30,24257.4,24297.05,24238.75,24296.1,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-03T15:15:00+05:30,24295.8,24309.15,24283.25,24290.8,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-04T09:15:00+05:30,24370.9,24392.55,24319.15,24392.35,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-04T09:45:00+05:30,24392.6,24401,24372.3,24375.05,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-04T10:15:00+05:30,24373.8,24386,24312.7,24333.7,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-04T10:45:00+05:30,24333.9,24344.8,24300.35,24334.55,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-04T11:15:00+05:30,24335.2,24350.5,24326.95,24328.35,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-04T11:45:00+05:30,24329,24340.1,24323.65,24331.7,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-04T12:15:00+05:30,24331.5,24352.2,24329.25,24350.9,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-04T12:45:00+05:30,24351.3,24357.55,24338,24342,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-04T13:15:00+05:30,24342.35,24348.75,24330.35,24336.65,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-04T13:45:00+05:30,24337.35,24345.75,24314.2,24340.05,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-04T14:15:00+05:30,24340.75,24351.3,24316.65,24338.75,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-04T14:45:00+05:30,24338.9,24345.35,24281,24302.65,Touch & Close Below,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-04T15:15:00+05:30,24300.35,24310.8,24293.45,24304.65,Touch & Close Below,No Touch,No Touch,No Touch,No Touch,No Touch
2024-07-05T09:15:00+05:30,24213.4,24260.95,24170.35,24220,No Touch,Touch & Close Below,No Touch,No Touch,Touch & Close Above,Touch & Close Below
2024-07-05T09:45:00+05:30,24219.95,24231.1,24168.85,24226.05,No Touch,Touch & Close Below,No Touch,No Touch,Touch & Close Above,No Touch
2024-07-05T10:15:00+05:30,24226.3,24258.8,24214.95,24251.35,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,Touch & Close Below
2024-07-05T10:45:00+05:30,24250.9,24262.05,24228.5,24233.2,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,Touch & Close Below
2024-07-05T11:15:00+05:30,24233.75,24283.45,24229.1,24277.15,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,Touch & Close Above
2024-07-05T11:45:00+05:30,24275.95,24284.55,24263.2,24273.1,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-07-05T12:15:00+05:30,24272.9,24288.85,24271.35,24280.55,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-07-05T12:45:00+05:30,24280.85,24283.95,24243.9,24253.5,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,Touch & Close Below
2024-07-05T13:15:00+05:30,24252.45,24269.7,24246.25,24254.9,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,Touch & Close Below
2024-07-05T13:45:00+05:30,24255.2,24258.85,24235.1,24247.9,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,Touch & Close Below
2024-07-05T14:15:00+05:30,24247.35,24258.3,24214.65,24230.85,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,Touch & Close Below
2024-07-05T14:45:00+05:30,24230.8,24354.1,24204.2,24342.05,No Touch,Touch & Close Above,Touch & Close Above,Touch & Close Above,Touch & Close Above,Touch & Close Above
2024-07-05T15:15:00+05:30,24342.25,24363,24315.75,24316.75,No Touch,No Touch,Touch & Close Below,No Touch,No Touch,No Touch
2024-07-08T09:15:00+05:30,24331.05,24338.85,24262.55,24273.45,No Touch,No Touch,Touch & Close Above,No Touch,Touch & Close Below,No Touch
2024-07-08T09:45:00+05:30,24274.3,24312.3,24265.7,24304.15,No Touch,No Touch,Touch & Close Above,No Touch,Touch & Close Above,No Touch
2024-07-08T10:15:00+05:30,24303.9,24329.15,24273.55,24304.95,No Touch,No Touch,No Touch,No Touch,Touch & Close Above,No Touch
2024-07-08T10:45:00+05:30,24305.3,24308,24247.8,24270.05,No Touch,No Touch,Touch & Close Above,No Touch,Touch & Close Below,No Touch
2024-07-08T11:15:00+05:30,24270.95,24299.8,24263.15,24270.9,No Touch,No Touch,Touch & Close Above,No Touch,Touch & Close Below,No Touch
2024-07-08T11:45:00+05:30,24271.35,24299.8,24240.55,24252.65,No Touch,No Touch,Touch & Close Below,No Touch,Touch & Close Below,No Touch
